name,class,r1a,r2a,r3a,r4a,r5a,t1a,t2a,t3a,t4a,t5a,k1a,k2a,k3a,k4a,k5a,s1a,s2a,s3a,r1b,r2b,r3b,r4b,r5b,t1b,t2b,t3b,t4b,t5b,k1b,k2b,k3b,k4b,k5b,s1b,s2b,s3b
s44,2,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,3,1,1,1,1
s45,2,2,2,3,3,1,4,4,3,4,4,4,4,4,5,3,3,3,4,1,2,3,3,2,5,5,4,4,4,5,4,4,4,4,4,4,5
s46,2,1,2,1,2,2,1,1,4,2,1,4,4,4,4,2,4,5,4,1,4,2,1,2,4,1,3,4,2,2,3,2,2,2,4,4,4
s47,2,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5
s48,2,4,3,4,3,4,3,4,3,2,4,2,2,3,4,3,3,2,4,4,3,3,3,4,3,4,4,2,4,2,2,3,3,4,4,3,3
s49,2,5,5,4,4,2,5,3,5,3,5,4,5,5,3,5,5,5,5,5,5,5,5,2,5,5,5,3,5,4,5,5,3,5,3,5,4
s50,2,3,4,5,2,4,5,2,3,5,3,4,5,5,5,4,4,5,5,4,4,4,2,4,4,4,2,4,4,5,5,5,5,4,5,5,5
s51,2,4,3,4,4,4,5,3,4,4,2,5,5,5,5,5,5,5,3,4,4,4,5,2,5,3,4,4,3,4,5,5,5,5,5,5,4
s52,2,2,2,2,2,1,5,5,4,5,5,4,4,4,4,5,3,3,2,2,1,2,1,1,5,4,4,4,5,4,2,4,4,4,3,2,3
s53,2,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,3,3,4,5,4,4,5,4,3,3,3,4,3,4,4
s54,2,2,3,3,2,4,4,4,3,3,3,4,3,3,5,3,3,3,4,3,2,3,3,2,4,3,3,3,4,3,3,4,4,4,3,2,5
s55,2,2,2,3,3,3,4,5,4,4,4,4,3,4,4,3,2,3,3,2,3,3,2,3,4,5,4,4,5,3,3,4,4,3,3,3,3
s56,2,5,5,4,5,3,5,4,5,5,5,5,4,5,4,4,4,4,4,5,5,5,3,5,5,4,5,5,5,4,5,5,5,5,5,5,4
s57,2,2,2,3,3,3,4,3,5,4,5,3,4,4,5,4,3,2,5,2,2,3,2,4,5,4,4,4,5,3,4,3,4,3,3,4,4
s58,2,4,2,4,4,3,3,4,4,4,4,4,4,4,3,4,2,3,4,3,3,3,3,2,4,4,3,3,3,3,3,3,3,4,3,4,3
s59,2,4,4,4,4,4,4,5,4,3,4,4,2,3,4,3,5,5,5,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,5,5,3
s60,2,2,3,3,3,2,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,3,3,2,4,4,4,4,4,4,3,4,3,4,3,4,3
s61,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,3,4,5,2,4,2,4,4,4,4,4,4,4,4,4
s62,2,2,2,2,2,2,4,5,4,4,4,2,3,4,2,3,3,2,4,2,2,3,2,2,4,4,4,4,4,3,2,4,2,3,4,4,4
s63,2,3,3,2,3,3,3,5,4,4,5,4,2,2,3,3,2,2,3,3,3,3,3,3,5,4,5,4,5,4,3,3,4,3,3,3,3
s64,2,2,2,4,4,2,4,2,4,4,4,3,4,5,4,4,3,4,4,4,4,4,4,2,4,2,5,4,4,4,4,4,3,4,3,3,4
s65,2,2,2,2,3,2,5,5,4,5,5,4,4,4,4,4,4,4,2,2,2,3,3,2,5,5,4,5,5,5,5,5,3,5,5,4,5
s66,2,2,2,2,3,2,3,3,3,3,2,3,3,3,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,4,2
